network_node	genome	Family	Division	Cluster designation
G21_Cl_1	Alcanivorax borkumensis SK2	Alcanivoracaceae	Proteobacteria	Native
G21_Cl_2	Alcanivorax borkumensis SK2	Alcanivoracaceae	Proteobacteria	Alien
G21_Cl_3	Alcanivorax borkumensis SK2	Alcanivoracaceae	Proteobacteria	Alien
G21_Cl_4	Alcanivorax borkumensis SK2	Alcanivoracaceae	Proteobacteria	Alien
G21_Cl_5	Alcanivorax borkumensis SK2	Alcanivoracaceae	Proteobacteria	Alien
G21_Cl_6	Alcanivorax borkumensis SK2	Alcanivoracaceae	Proteobacteria	Native
G21_Cl_7	Alcanivorax borkumensis SK2	Alcanivoracaceae	Proteobacteria	Alien
G21_Cl_8	Alcanivorax borkumensis SK2	Alcanivoracaceae	Proteobacteria	Alien
G21_Cl_9	Alcanivorax borkumensis SK2	Alcanivoracaceae	Proteobacteria	Alien
G21_Cl_10	Alcanivorax borkumensis SK2	Alcanivoracaceae	Proteobacteria	Native
G21_Cl_11	Alcanivorax borkumensis SK2	Alcanivoracaceae	Proteobacteria	Native
G21_Cl_12	Alcanivorax borkumensis SK2	Alcanivoracaceae	Proteobacteria	Alien
G21_Cl_13	Alcanivorax borkumensis SK2	Alcanivoracaceae	Proteobacteria	Native
G21_Cl_14	Alcanivorax borkumensis SK2	Alcanivoracaceae	Proteobacteria	Native
G21_Cl_15	Alcanivorax borkumensis SK2	Alcanivoracaceae	Proteobacteria	Native
G22_Cl_1	Alkalilimnicola ehrlichei MLHE-1	Ectothiorhodospiraceae	Proteobacteria	Native
G22_Cl_2	Alkalilimnicola ehrlichei MLHE-1	Ectothiorhodospiraceae	Proteobacteria	Alien
G22_Cl_3	Alkalilimnicola ehrlichei MLHE-1	Ectothiorhodospiraceae	Proteobacteria	Alien
G22_Cl_4	Alkalilimnicola ehrlichei MLHE-1	Ectothiorhodospiraceae	Proteobacteria	Alien
G22_Cl_5	Alkalilimnicola ehrlichei MLHE-1	Ectothiorhodospiraceae	Proteobacteria	Alien
G22_Cl_6	Alkalilimnicola ehrlichei MLHE-1	Ectothiorhodospiraceae	Proteobacteria	Alien
G22_Cl_7	Alkalilimnicola ehrlichei MLHE-1	Ectothiorhodospiraceae	Proteobacteria	Alien
G22_Cl_8	Alkalilimnicola ehrlichei MLHE-1	Ectothiorhodospiraceae	Proteobacteria	Alien
G22_Cl_9	Alkalilimnicola ehrlichei MLHE-1	Ectothiorhodospiraceae	Proteobacteria	Alien
G22_Cl_10	Alkalilimnicola ehrlichei MLHE-1	Ectothiorhodospiraceae	Proteobacteria	Alien
G22_Cl_11	Alkalilimnicola ehrlichei MLHE-1	Ectothiorhodospiraceae	Proteobacteria	Alien
G23_Cl_1	Alkaliphilus metalliredigens QYMF	Clostridiaceae	Firmicutes	Native
G23_Cl_2	Alkaliphilus metalliredigens QYMF	Clostridiaceae	Firmicutes	Alien
G23_Cl_3	Alkaliphilus metalliredigens QYMF	Clostridiaceae	Firmicutes	Native
G23_Cl_4	Alkaliphilus metalliredigens QYMF	Clostridiaceae	Firmicutes	Alien
G23_Cl_5	Alkaliphilus metalliredigens QYMF	Clostridiaceae	Firmicutes	Alien
G23_Cl_6	Alkaliphilus metalliredigens QYMF	Clostridiaceae	Firmicutes	Alien
G23_Cl_7	Alkaliphilus metalliredigens QYMF	Clostridiaceae	Firmicutes	Native
G23_Cl_8	Alkaliphilus metalliredigens QYMF	Clostridiaceae	Firmicutes	Native
G23_Cl_9	Alkaliphilus metalliredigens QYMF	Clostridiaceae	Firmicutes	Alien
G23_Cl_10	Alkaliphilus metalliredigens QYMF	Clostridiaceae	Firmicutes	Alien
G23_Cl_11	Alkaliphilus metalliredigens QYMF	Clostridiaceae	Firmicutes	Native
G24_Cl_1	Anabaena variabilis ATCC 29413	Nostocaceae	Cyanobacteria	Native
G24_Cl_2	Anabaena variabilis ATCC 29413	Nostocaceae	Cyanobacteria	Native
G24_Cl_3	Anabaena variabilis ATCC 29413	Nostocaceae	Cyanobacteria	Alien
G24_Cl_4	Anabaena variabilis ATCC 29413	Nostocaceae	Cyanobacteria	Native
G24_Cl_5	Anabaena variabilis ATCC 29413	Nostocaceae	Cyanobacteria	Alien
G24_Cl_6	Anabaena variabilis ATCC 29413	Nostocaceae	Cyanobacteria	Native
G24_Cl_7	Anabaena variabilis ATCC 29413	Nostocaceae	Cyanobacteria	Alien
G24_Cl_8	Anabaena variabilis ATCC 29413	Nostocaceae	Cyanobacteria	Native
G25_Cl_1	Anaeromyxobacter sp. Fw109-5	Myxococcaceae	Proteobacteria	Native
G25_Cl_2	Anaeromyxobacter sp. Fw109-5	Myxococcaceae	Proteobacteria	Alien
G25_Cl_3	Anaeromyxobacter sp. Fw109-5	Myxococcaceae	Proteobacteria	Alien
G25_Cl_4	Anaeromyxobacter sp. Fw109-5	Myxococcaceae	Proteobacteria	Alien
G25_Cl_5	Anaeromyxobacter sp. Fw109-5	Myxococcaceae	Proteobacteria	Alien
G25_Cl_6	Anaeromyxobacter sp. Fw109-5	Myxococcaceae	Proteobacteria	Alien
G25_Cl_7	Anaeromyxobacter sp. Fw109-5	Myxococcaceae	Proteobacteria	Alien
G25_Cl_8	Anaeromyxobacter sp. Fw109-5	Myxococcaceae	Proteobacteria	Alien
G25_Cl_9	Anaeromyxobacter sp. Fw109-5	Myxococcaceae	Proteobacteria	Alien
G26_Cl_1	Anaeromyxobacter dehalogenans 2CP-C	Myxococcaceae	Proteobacteria	Native
G26_Cl_2	Anaeromyxobacter dehalogenans 2CP-C	Myxococcaceae	Proteobacteria	Alien
G26_Cl_3	Anaeromyxobacter dehalogenans 2CP-C	Myxococcaceae	Proteobacteria	Native
G26_Cl_4	Anaeromyxobacter dehalogenans 2CP-C	Myxococcaceae	Proteobacteria	Alien
G26_Cl_5	Anaeromyxobacter dehalogenans 2CP-C	Myxococcaceae	Proteobacteria	Alien
G26_Cl_6	Anaeromyxobacter dehalogenans 2CP-C	Myxococcaceae	Proteobacteria	Alien
G26_Cl_7	Anaeromyxobacter dehalogenans 2CP-C	Myxococcaceae	Proteobacteria	Alien
G26_Cl_8	Anaeromyxobacter dehalogenans 2CP-C	Myxococcaceae	Proteobacteria	Alien
G26_Cl_9	Anaeromyxobacter dehalogenans 2CP-C	Myxococcaceae	Proteobacteria	Native
G26_Cl_10	Anaeromyxobacter dehalogenans 2CP-C	Myxococcaceae	Proteobacteria	Alien
G27_Cl_1	Anaplasma marginale str. St. Maries	Anaplasmataceae	Proteobacteria	Native
G27_Cl_2	Anaplasma marginale str. St. Maries	Anaplasmataceae	Proteobacteria	Alien
G27_Cl_3	Anaplasma marginale str. St. Maries	Anaplasmataceae	Proteobacteria	Alien
G27_Cl_4	Anaplasma marginale str. St. Maries	Anaplasmataceae	Proteobacteria	Alien
G27_Cl_5	Anaplasma marginale str. St. Maries	Anaplasmataceae	Proteobacteria	Alien
G28_Cl_1	Aquifex aeolicus VF5	Aquificaceae	Aquificae	Native
G28_Cl_2	Aquifex aeolicus VF5	Aquificaceae	Aquificae	Alien
G28_Cl_3	Aquifex aeolicus VF5	Aquificaceae	Aquificae	Alien
G28_Cl_4	Aquifex aeolicus VF5	Aquificaceae	Aquificae	Alien
G29_Cl_1	Archaeoglobus fulgidus DSM 4304	Archaeoglobaceae	Euryarchaeota	Native
G29_Cl_2	Archaeoglobus fulgidus DSM 4304	Archaeoglobaceae	Euryarchaeota	Alien
G29_Cl_3	Archaeoglobus fulgidus DSM 4304	Archaeoglobaceae	Euryarchaeota	Alien
G30_Cl_1	Arthrobacter sp. FB24	Micrococcaceae	Actinobacteria	Native
G30_Cl_2	Arthrobacter sp. FB24	Micrococcaceae	Actinobacteria	Native
G30_Cl_3	Arthrobacter sp. FB24	Micrococcaceae	Actinobacteria	Native
G30_Cl_4	Arthrobacter sp. FB24	Micrococcaceae	Actinobacteria	Alien
G30_Cl_5	Arthrobacter sp. FB24	Micrococcaceae	Actinobacteria	Alien
G30_Cl_6	Arthrobacter sp. FB24	Micrococcaceae	Actinobacteria	Alien
G30_Cl_7	Arthrobacter sp. FB24	Micrococcaceae	Actinobacteria	Native
G30_Cl_8	Arthrobacter sp. FB24	Micrococcaceae	Actinobacteria	Alien
G30_Cl_9	Arthrobacter sp. FB24	Micrococcaceae	Actinobacteria	Native
G30_Cl_10	Arthrobacter sp. FB24	Micrococcaceae	Actinobacteria	Alien
G31_Cl_1	Arthrobacter aurescens TC1	Micrococcaceae	Actinobacteria	Native
G31_Cl_2	Arthrobacter aurescens TC1	Micrococcaceae	Actinobacteria	Alien
G31_Cl_3	Arthrobacter aurescens TC1	Micrococcaceae	Actinobacteria	Alien
G31_Cl_4	Arthrobacter aurescens TC1	Micrococcaceae	Actinobacteria	Alien
G31_Cl_5	Arthrobacter aurescens TC1	Micrococcaceae	Actinobacteria	Alien
G31_Cl_6	Arthrobacter aurescens TC1	Micrococcaceae	Actinobacteria	Native
G31_Cl_7	Arthrobacter aurescens TC1	Micrococcaceae	Actinobacteria	Native
G31_Cl_8	Arthrobacter aurescens TC1	Micrococcaceae	Actinobacteria	Native
G31_Cl_9	Arthrobacter aurescens TC1	Micrococcaceae	Actinobacteria	Native
G31_Cl_10	Arthrobacter aurescens TC1	Micrococcaceae	Actinobacteria	Native
G31_Cl_11	Arthrobacter aurescens TC1	Micrococcaceae	Actinobacteria	Alien
G31_Cl_12	Arthrobacter aurescens TC1	Micrococcaceae	Actinobacteria	Alien
G32_Cl_1	Aster yellows witches'-broom phytoplasma AYWB	Acholeplasmataceae	Firmicutes	Native
G32_Cl_2	Aster yellows witches'-broom phytoplasma AYWB	Acholeplasmataceae	Firmicutes	Alien
G32_Cl_3	Aster yellows witches'-broom phytoplasma AYWB	Acholeplasmataceae	Firmicutes	Alien
G32_Cl_4	Aster yellows witches'-broom phytoplasma AYWB	Acholeplasmataceae	Firmicutes	Alien
G32_Cl_5	Aster yellows witches'-broom phytoplasma AYWB	Acholeplasmataceae	Firmicutes	Alien
G32_Cl_6	Aster yellows witches'-broom phytoplasma AYWB	Acholeplasmataceae	Firmicutes	Native
G33_Cl_1	Azoarcus sp. BH72	Rhodocyclaceae	Proteobacteria	Native
G33_Cl_2	Azoarcus sp. BH72	Rhodocyclaceae	Proteobacteria	Native
G33_Cl_3	Azoarcus sp. BH72	Rhodocyclaceae	Proteobacteria	Alien
G33_Cl_4	Azoarcus sp. BH72	Rhodocyclaceae	Proteobacteria	Native
G33_Cl_5	Azoarcus sp. BH72	Rhodocyclaceae	Proteobacteria	Native
G33_Cl_6	Azoarcus sp. BH72	Rhodocyclaceae	Proteobacteria	Alien
G33_Cl_7	Azoarcus sp. BH72	Rhodocyclaceae	Proteobacteria	Alien
G33_Cl_8	Azoarcus sp. BH72	Rhodocyclaceae	Proteobacteria	Alien
G33_Cl_9	Azoarcus sp. BH72	Rhodocyclaceae	Proteobacteria	Alien
G33_Cl_10	Azoarcus sp. BH72	Rhodocyclaceae	Proteobacteria	Native
G34_Cl_1	Azoarcus sp. EbN1	Rhodocyclaceae	Proteobacteria	Native
G34_Cl_2	Azoarcus sp. EbN1	Rhodocyclaceae	Proteobacteria	Alien
G34_Cl_3	Azoarcus sp. EbN1	Rhodocyclaceae	Proteobacteria	Alien
G34_Cl_4	Azoarcus sp. EbN1	Rhodocyclaceae	Proteobacteria	Alien
G34_Cl_5	Azoarcus sp. EbN1	Rhodocyclaceae	Proteobacteria	Alien
G34_Cl_6	Azoarcus sp. EbN1	Rhodocyclaceae	Proteobacteria	Alien
G34_Cl_7	Azoarcus sp. EbN1	Rhodocyclaceae	Proteobacteria	Alien
G34_Cl_8	Azoarcus sp. EbN1	Rhodocyclaceae	Proteobacteria	Alien
G34_Cl_9	Azoarcus sp. EbN1	Rhodocyclaceae	Proteobacteria	Alien
G34_Cl_10	Azoarcus sp. EbN1	Rhodocyclaceae	Proteobacteria	Alien
G34_Cl_11	Azoarcus sp. EbN1	Rhodocyclaceae	Proteobacteria	Alien
G34_Cl_12	Azoarcus sp. EbN1	Rhodocyclaceae	Proteobacteria	Alien
G34_Cl_13	Azoarcus sp. EbN1	Rhodocyclaceae	Proteobacteria	Alien
G34_Cl_14	Azoarcus sp. EbN1	Rhodocyclaceae	Proteobacteria	Alien
G34_Cl_15	Azoarcus sp. EbN1	Rhodocyclaceae	Proteobacteria	Alien
G35_Cl_1	Bacillus amyloliquefaciens FZB42	Bacillaceae	Firmicutes	Native
